id;scientific name;scientific name authorship;genus;family;order and higher taxonomic rank;decimal Longitude;decimal Latitude;depth;year;campaign;reference;vessel;basisOfRecord;
378;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.638333;-49.520000;21;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
379;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.638333;-49.520000;22;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
380;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.656667;-49.536667;110;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
381;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.680000;-49.553333;49;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
389;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.743333;-49.740000;103;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
392;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.786667;-49.913333;120;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
398;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.941667;-49.138333;50;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
400;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.988333;-48.910000;87;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
406;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.150000;-48.350000;128;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
408;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.233333;-48.033333;151;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
409;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.261667;-47.746667;163;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
410;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.283333;-49.785000;131;1975;MD04 (BENTHOS);De Ridder et al. 1992;Marion Dufresne;preservedSpecimen;
